City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Atuona,PF,-9.8,-139.0333,78.17,77,100,13.73,overcast clouds
80,Raudeberg,NO,61.9875,5.1352,43.86,70,18,18.68,few clouds
81,Bang Krathum,TH,16.5783,100.3003,84.09,58,30,7.72,light rain
82,Hithadhoo,MV,-0.6,73.0833,84.34,67,93,12.75,overcast clouds
83,Domoni,KM,-12.2569,44.5319,79.84,83,92,3.83,overcast clouds
84,Weligama,LK,5.9667,80.4167,76.87,86,100,1.57,overcast clouds
85,Hamilton,US,39.1834,-84.5333,68.09,40,40,11.5,scattered clouds
86,Selfoss,IS,63.9331,-20.9971,29.05,69,100,22.93,snow
87,Biak,ID,-0.9131,122.8766,77.05,85,52,1.21,broken clouds
88,Cayenne,GF,4.9333,-52.3333,82.09,1,75,6.91,broken clouds
89,Faanui,PF,-16.4833,-151.75,81.84,72,35,8.68,scattered clouds
90,Yenangyaung,MM,20.4667,94.8833,75.61,30,12,6.87,few clouds
91,Takoradi,GH,4.8845,-1.7554,80.38,85,80,5.88,broken clouds
92,Mount Gambier,AU,-37.8333,140.7667,64.31,88,80,10.36,broken clouds
93,Iringa,TZ,-7.7667,35.7,59.31,93,100,4.5,overcast clouds
94,Nago,JP,26.5881,127.9761,67.05,83,0,3.76,clear sky
95,Ilulissat,GL,69.2167,-51.1,-6.65,95,100,3.49,overcast clouds
96,Aliganj,IN,27.5,79.1833,72.57,34,9,5.68,clear sky
97,Winnemucca,US,40.973,-117.7357,55.45,58,75,13.8,broken clouds
98,Bethel,US,41.3712,-73.414,63.45,54,100,4.85,overcast clouds
99,Kobayashi,JP,31.9833,130.9833,47.7,37,42,4.5,scattered clouds
100,Lompoc,US,34.6391,-120.4579,83.57,70,0,27.0,haze
101,Quatre Cocos,MU,-20.2078,57.7625,78.91,88,94,8.75,overcast clouds
102,Castro,BR,-24.7911,-50.0119,65.17,97,100,5.82,overcast clouds
103,Yulara,AU,-25.2406,130.9889,75.04,50,10,0.0,clear sky
104,Natal,BR,-5.795,-35.2094,83.05,78,20,11.5,few clouds
105,East London,ZA,-33.0153,27.9116,65.34,86,74,2.64,moderate rain
106,Yellowknife,CA,62.456,-114.3525,9.28,72,75,6.91,broken clouds
107,Bilibino,RU,68.0546,166.4372,-6.88,86,4,0.83,clear sky
108,Changqing,CN,36.5575,116.7272,54.07,58,66,5.32,broken clouds
109,Kaitangata,NZ,-46.2817,169.8464,53.44,68,99,9.4,overcast clouds
110,Great Falls,US,47.5002,-111.3008,58.15,37,0,24.16,clear sky
111,Torbay,CA,47.6666,-52.7314,34.75,78,20,23.02,few clouds
112,Xining,CN,36.6167,101.7667,42.44,47,100,2.51,light rain
113,Praia,CV,14.9215,-23.5087,68.54,68,20,26.46,few clouds
114,Haines Junction,CA,60.7522,-137.5108,17.55,62,100,1.14,overcast clouds
115,Kindu,CD,-2.95,25.95,70.65,99,91,3.2,overcast clouds
116,Labuan,MY,5.2767,115.2417,77.36,100,20,0.0,few clouds
117,Demba,CD,-5.51,22.2667,70.32,97,89,1.45,overcast clouds
118,Sondrio,IT,46.169,9.8692,50.94,85,98,2.08,overcast clouds
119,Marzuq,YE,14.4,46.4667,61.56,64,0,6.26,clear sky
120,Matara,LK,5.9485,80.5353,76.82,86,100,1.92,overcast clouds
121,Mayumba,GA,-3.432,10.6554,76.33,89,100,7.7,overcast clouds
122,Fallon,US,39.4735,-118.7774,58.91,56,75,5.75,broken clouds
123,Panama City,PA,8.9936,-79.5197,91.35,51,40,12.66,scattered clouds
124,Aklavik,CA,68.2191,-135.0107,-5.8,54,20,3.44,few clouds
125,Nicoya,CR,10.1483,-85.452,92.53,34,56,7.99,broken clouds
126,Cockburn Town,TC,21.4612,-71.1419,82.36,61,40,17.27,scattered clouds
127,Lakes Entrance,AU,-37.8811,147.981,64.17,82,100,4.14,moderate rain
128,Jamestown,US,42.097,-79.2353,53.24,42,100,11.5,overcast clouds
129,Mar Del Plata,AR,-38.0023,-57.5575,69.82,69,0,15.01,clear sky
130,Whitehorse,CA,60.7161,-135.0538,34.11,68,75,20.71,broken clouds
131,Stromness,GB,58.965,-3.296,44.56,82,100,12.06,overcast clouds
132,Ponta Do Sol,PT,32.6667,-17.1,60.06,55,45,12.35,scattered clouds
133,Naantali,FI,60.4674,22.0243,33.12,86,0,4.61,clear sky
134,Yuncheng,CN,35.0231,110.9928,61.84,30,100,2.48,overcast clouds
135,Luanda,AO,-8.8368,13.2343,78.8,83,0,4.61,clear sky
136,Saint-Philippe,RE,-21.3585,55.7679,76.59,88,97,10.76,light rain
137,Nikolskoye,RU,59.7035,30.7861,32.72,93,36,3.85,scattered clouds
138,Ulvik,NO,60.5672,6.9187,28.31,94,63,5.84,broken clouds
139,Khatanga,RU,71.9667,102.5,-10.97,96,96,6.87,overcast clouds
140,Hof,DE,50.3167,11.9167,40.48,89,75,7.0,broken clouds
141,Sao Filipe,CV,14.8961,-24.4956,70.54,70,1,14.7,clear sky
142,Rudnichnyy,RU,59.617,52.4703,-1.98,100,37,3.06,scattered clouds
143,Mareeba,AU,-17.0,145.4333,73.44,96,69,2.91,broken clouds
144,Buraydah,SA,26.326,43.975,59.45,30,0,20.07,clear sky
145,Port Hedland,AU,-20.3167,118.5667,84.25,84,72,5.75,broken clouds
146,Norman Wells,CA,65.282,-126.8329,-2.16,55,75,5.75,broken clouds
147,Kushiro,JP,42.975,144.3747,31.39,95,100,11.52,overcast clouds
148,Nanortalik,GL,60.1432,-45.2371,8.35,77,100,20.45,light snow
149,Malangali,TZ,-8.5667,34.85,63.09,92,100,2.77,light rain
150,Salalah,OM,17.0151,54.0924,73.96,54,2,1.48,clear sky
151,Goundi,TD,9.3627,17.366,87.84,12,2,6.93,clear sky
152,Dundwaraganj,IN,27.7333,78.95,73.02,33,7,6.04,clear sky
153,Opuwo,NA,-18.0607,13.84,70.83,54,95,3.71,overcast clouds
154,New Norfolk,AU,-42.7826,147.0587,62.1,72,100,1.99,overcast clouds
155,Pacific Grove,US,36.6177,-121.9166,71.55,77,20,5.99,few clouds
156,Sal Rei,CV,16.1833,-22.9167,69.01,71,9,23.89,clear sky
157,Arroio Grande,BR,-32.2375,-53.0869,68.94,57,1,8.12,clear sky
158,Bloomfield,US,40.8068,-74.1854,66.49,42,0,11.5,clear sky
159,Broken Hill,AU,-31.95,141.4333,60.51,94,25,10.36,scattered clouds
160,Sarakhs,IR,36.5449,61.1577,48.52,78,25,7.11,scattered clouds
161,Lagoa,PT,39.05,-27.9833,56.19,58,100,16.04,overcast clouds
162,Ust-Maya,RU,60.4167,134.5333,-6.48,99,100,2.73,overcast clouds
163,Pingliang,CN,35.5392,106.6861,52.07,62,99,5.66,overcast clouds
164,Okhotsk,RU,59.3833,143.3,3.4,91,100,7.61,overcast clouds
165,Bengkulu,ID,-3.8004,102.2655,76.51,85,100,3.38,overcast clouds
166,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.6,83,75,2.3,light rain
167,Hervey Bay,AU,-25.2986,152.8535,74.16,77,100,13.65,overcast clouds
168,Norden,DE,53.6,7.2,44.94,91,58,9.06,broken clouds
169,Hay River,CA,60.8156,-115.7999,15.76,67,75,10.36,broken clouds
